
Sentence_ID,Role,Paragraph_Position,Outcome_Type,Game_Flow_Type,Player_Type,Team_Type,Narrative_Strategy,Trigger_Logic,Required_Fields,Template,Tone,Priority,Notes
OPEN_WIN_DEFENSE_001,Opening,P1_S1,Win,Any,Any,Defensive_Strength,Win_Positive,Result == W AND Opponent_Final_Points <= 65,Opponent,Davidson relied on strong defense to defeat [OPPONENT].,Positive,2,
OPEN_LOSS_CLOSE_001,Opening,P1_S1,Loss_Close,Back_and_Forth,Any,Any,Loss_Positive,Result == L AND ABS(Point_Differential) <= 8,"Opponent,Davidson_Final_Points,Opponent_Final_Points","Davidson battled in a tightly contested matchup against [OPPONENT], falling [SCORE].",Positive,1,
OPEN_LOSS_CLOSE_002,Opening,P1_S1,Loss_Close,Late_Composure,Any,Any,Loss_Positive,Result == L AND ABS(Point_Differential) <= 5,Opponent,Davidson pushed [OPPONENT] to the finish in a close contest.,Positive,1,
OPEN_LOSS_COMPETITIVE_001,Opening,P1_S1,Loss_Competitive,Any,Any,Any,Loss_Positive,Result == L AND ABS(Point_Differential) BETWEEN 9 AND 14,Opponent,Davidson delivered a competitive performance against [OPPONENT].,Positive,2,
OPEN_LOSS_BLOWOUT_001,Opening,P1_S1,Loss_Blowout,Any,Any,Any,Loss_Positive,Result == L AND ABS(Point_Differential) >= 15,Opponent,Davidson showed flashes of strong play despite the result against [OPPONENT].,Positive,2,
OPEN_LOSS_RESILIENCE_001,Opening,P1_S1,Loss,Second_Half_Response,Any,Any,Loss_Positive,Result == L AND Second_Half_Differential > 0,Opponent,Davidson responded after halftime and continued to challenge [OPPONENT].,Positive,1,
BODY_PLAYER_STAR_001,Body_Player,P1_S2,Any,Any,Star_Performance,Any,Davidson_Positive,Top_Scorer_Davidson_Points >= 20,"Top_Scorer_Davidson,Top_Scorer_Davidson_Points,Top_Scorer_Davidson_Rebounds,Top_Scorer_Davidson_Assists","[PLAYER] led the way with [POINTS] points, [REBOUNDS] rebounds and [ASSISTS] assists.",Positive,1,
BODY_PLAYER_ELITE_001,Body_Player,P1_S2,Any,Any,Elite_Performance,Any,Davidson_Positive,Top_Scorer_Davidson_Points >= 25,"Top_Scorer_Davidson,Top_Scorer_Davidson_Points",[PLAYER] delivered a standout performance with [POINTS] points.,Positive,1,
BODY_PLAYER_STANDARD_001,Body_Player,P1_S2,Any,Any,Standard_Leader,Any,Davidson_Positive,Top_Scorer_Davidson_Points BETWEEN 12 AND 19,"Top_Scorer_Davidson,Top_Scorer_Davidson_Points",[PLAYER] paced Davidson with [POINTS] points.,Positive,2,
BODY_PLAYER_DOUBLE_DOUBLE_001,Body_Player,P1_S2,Any,Any,Double_Double,Any,Davidson_Positive,Double_Doubles_Davidson >= 1,"Top_Scorer_Davidson,Top_Scorer_Davidson_Points,Top_Scorer_Davidson_Rebounds",[PLAYER] recorded a double-double with [POINTS] points and [REBOUNDS] rebounds.,Positive,1,
BODY_PLAYER_WELL_ROUNDED_001,Body_Player,P1_S2,Any,Any,Well_Rounded,Any,Davidson_Positive,Top_Scorer_Davidson_Points >= 10 AND Top_Scorer_Davidson_Rebounds >= 5 AND Top_Scorer_Davidson_Assists >= 3,"Top_Scorer_Davidson,Top_Scorer_Davidson_Points,Top_Scorer_Davidson_Rebounds,Top_Scorer_Davidson_Assists","[PLAYER] had a well-rounded game with [POINTS] points, [REBOUNDS] rebounds and [ASSISTS] assists.",Positive,1,
BODY_PLAYER_SECOND_001,Body_Player,P1_S3,Any,Any,Secondary_Contributor,Any,Davidson_Positive,Second_Key_Player_Davidson IS NOT NULL,"Second_Key_Player_Davidson,Second_Key_Player_Davidson_Statline",[SECOND_PLAYER] added important support with [SECOND_STATLINE].,Positive,2,
BODY_PLAYER_THIRD_001,Body_Player,P1_S3,Any,Any,Depth_Contributor,Any,Davidson_Positive,Third_Key_Player_Davidson IS NOT NULL,"Third_Key_Player_Davidson,Third_Key_Player_Davidson_Statline",[THIRD_PLAYER] also contributed with [THIRD_STATLINE].,Positive,3,
BODY_PLAYER_BENCH_001,Body_Player,P1_S3,Any,Any,Bench_Impact,Bench_Strength,Davidson_Positive,Davidson_Bench_Points >= 20,Davidson_Bench_Points,"Davidson received a spark from its bench, which contributed [BENCH_POINTS] points.",Positive,2,
BODY_FLOW_COMEBACK_001,Body_Flow,P1_S3,Win,Comeback,Any,Any,Win_Positive,Comeback_Win == 1,"Davidson_Second_Half_Points,Opponent_Second_Half_Points",Davidson adjusted well after halftime and outscored [OPPONENT] [SECOND_HALF_SCORE] in the second half.,Positive,1,
BODY_FLOW_SECOND_HALF_001,Body_Flow,P1_S3,Any,Second_Half_Response,Any,Any,Davidson_Positive,Second_Half_Differential > 0,Second_Half_Differential,Davidson found its rhythm after halftime and created separation with a strong second-half push.,Positive,2,
BODY_FLOW_EARLY_LEAD_001,Body_Flow,P1_S3,Win,Early_Dominance,Any,Any,Win_Positive,Result == W AND Halftime_Leader == Davidson AND Halftime_Margin >= 10,Halftime_Margin,Davidson built a [HALFTIME_MARGIN]-point lead by halftime and maintained control from there.,Positive,1,
BODY_FLOW_BACK_FORTH_001,Body_Flow,P1_S3,Any,Back_and_Forth,Any,Any,Davidson_Positive,Lead_Changes >= 6 OR Times_Tied >= 5,"Lead_Changes,Times_Tied","The game featured several momentum swings, but Davidson continued to answer key stretches.",Positive,2,
BODY_FLOW_CLOSE_001,Body_Flow,P1_S3,Win_Close,Late_Composure,Any,Any,Win_Positive,Result == W AND Point_Differential <= 8,Point_Differential,Davidson stayed composed in crunch time and made key plays down the stretch.,Positive,1,
BODY_FLOW_CLOSE_LOSS_001,Body_Flow,P1_S3,Loss_Close,Late_Response,Any,Any,Loss_Positive,Result == L AND ABS(Point_Differential) <= 8,Point_Differential,Davidson remained within striking distance late and continued to fight through the final possessions.,Positive,1,
BODY_FLOW_OVER_TIME_001,Body_Flow,P1_S3,Any,Overtime,Any,Any,Davidson_Positive,Overtime == Yes OR Overtime_Periods > 0,Overtime_Periods,Davidson pushed the game beyond regulation and competed deep into overtime.,Positive,1,
BODY_TEAM_FG_001,Body_Team_Stat,P2_S1,Any,Any,Any,Strong_Shooting,Davidson_Positive,Davidson_FG_Percentage >= 48,Davidson_FG_Percentage,"Davidson shot [FG_PERCENTAGE]% from the field, showing efficient offensive execution.",Positive,1,
BODY_TEAM_3PT_001,Body_Team_Stat,P2_S1,Any,Any,Any,Strong_Three_Point_Shooting,Davidson_Positive,Davidson_3PT_Percentage >= 38,"Davidson_3PT_Percentage,Davidson_3PT_Made,Davidson_3PT_Attempted","Davidson excelled from beyond the arc, hitting [THREES_MADE] of [THREES_ATTEMPTED] from three-point range.",Positive,1,
BODY_TEAM_FT_001,Body_Team_Stat,P2_S1,Any,Any,Any,Free_Throw_Strength,Davidson_Positive,Davidson_FT_Percentage >= 75,Davidson_FT_Percentage,"Davidson took advantage at the free-throw line, converting [FT_PERCENTAGE]% of its attempts.",Positive,2,
BODY_TEAM_ASSISTS_001,Body_Team_Stat,P2_S1,Any,Any,Any,Ball_Movement,Davidson_Positive,Davidson_Assists >= 15,Davidson_Assists,"Davidson moved the ball well, finishing with [ASSISTS] assists.",Positive,1,
BODY_TEAM_PAINT_001,Body_Team_Stat,P2_S1,Any,Any,Any,Paint_Scoring,Davidson_Positive,Davidson_Points_In_Paint >= 34,Davidson_Points_In_Paint,"Davidson found success inside, scoring [POINTS_IN_PAINT] points in the paint.",Positive,2,
BODY_TEAM_FASTBREAK_001,Body_Team_Stat,P2_S1,Any,Any,Any,Transition_Offense,Davidson_Positive,Davidson_Fast_Break_Points >= 10,Davidson_Fast_Break_Points,Davidson found success in transition with [FAST_BREAK_POINTS] fast-break points.,Positive,2,
BODY_TEAM_SECOND_CHANCE_001,Body_Team_Stat,P2_S1,Any,Any,Any,Second_Chance_Offense,Davidson_Positive,Davidson_Second_Chance_Points >= 10,Davidson_Second_Chance_Points,"Davidson capitalized on second-chance opportunities, adding [SECOND_CHANCE_POINTS] second-chance points.",Positive,2,
BODY_TEAM_REBOUND_001,Body_Team_Stat,P2_S1,Any,Any,Any,Rebound_Dominance,Davidson_Positive,Rebound_Differential >= 5,"Davidson_Rebounds,Rebound_Differential","Davidson controlled the glass with [REBOUNDS] rebounds, finishing plus-[REBOUND_DIFFERENTIAL] on the boards.",Positive,1,
BODY_TEAM_TURNOVER_001,Body_Team_Stat,P2_S1,Any,Any,Any,Turnover_Control,Davidson_Positive,Turnover_Differential <= -3,"Davidson_Turnovers,Opponent_Turnovers",Davidson protected the ball well and won the turnover battle.,Positive,2,
BODY_TEAM_STEALS_001,Body_Team_Stat,P2_S1,Any,Any,Any,Defensive_Pressure,Davidson_Positive,Davidson_Steals >= 7,Davidson_Steals,"Davidson emphasized defensive pressure, collecting [STEALS] steals.",Positive,2,
BODY_TEAM_BLOCKS_001,Body_Team_Stat,P2_S1,Any,Any,Any,Interior_Defense,Davidson_Positive,Davidson_Blocks >= 4,Davidson_Blocks,Davidson protected the rim effectively with [BLOCKS] blocks.,Positive,2,
BODY_TEAM_DEFENSE_001,Body_Team_Stat,P2_S1,Win,Any,Any,Defensive_Strength,Win_Positive,Result == W AND Opponent_Final_Points <= 65,"Opponent,Opponent_Final_Points",Davidson limited [OPPONENT] to [OPPONENT_POINTS] points with steady defensive pressure.,Positive,1,
BODY_TEAM_POINTS_OFF_TO_001,Body_Team_Stat,P2_S1,Any,Any,Any,Points_Off_Turnovers,Davidson_Positive,Davidson_Points_Off_Turnovers >= 15,Davidson_Points_Off_Turnovers,Davidson turned defense into offense with [POINTS_OFF_TURNOVERS] points off turnovers.,Positive,2,
BODY_RESILIENCE_POOR_SHOOTING_001,Body_Team_Stat,P2_S1,Any,Any,Any,Resilience,Davidson_Positive,Davidson_FG_Percentage < 40 AND ABS(Point_Differential) <= 10,"Davidson_FG_Percentage,Point_Differential","Even on a tougher shooting night, Davidson stayed within reach through effort and timely responses.",Positive,2,
BODY_RESILIENCE_LOSS_001,Body_Flow,P2_S1,Loss,Any,Any,Resilience,Loss_Positive,Result == L,Opponent,Davidson continued to compete and found positive stretches against [OPPONENT].,Positive,3,
BODY_RESILIENCE_HALFTIME_001,Body_Flow,P2_S1,Any,Second_Half_Response,Any,Resilience,Davidson_Positive,Halftime_Leader == Opponent AND Second_Half_Differential > 0,Second_Half_Differential,"After trailing at halftime, Davidson responded with better execution and energy in the second half.",Positive,1,
CLOSE_WIN_RECORD_001,Closing,P2_S2,Win,Any,Any,Any,Win_Positive,Result == W AND Davidson_Record_After IS NOT NULL,Davidson_Record_After,"With the win, Davidson improves to [RECORD].",Positive,1,
CLOSE_WIN_MOMENTUM_001,Closing,P2_S2,Win,Any,Any,Any,Win_Positive,Result == W,,Davidson will look to carry this momentum forward.,Positive,2,
CLOSE_WIN_CONFIDENCE_001,Closing,P2_S2,Win,Any,Any,Any,Win_Positive,Result == W,,This win marks an important step for Davidson.,Positive,2,
CLOSE_WIN_EXECUTION_001,Closing,P2_S2,Win,Any,Any,Any,Win_Positive,Result == W,,The result reflects Davidson’s strong execution.,Positive,2,
CLOSE_WIN_CLOSEOUT_001,Closing,P2_S2,Win_Close,Late_Composure,Any,Any,Win_Positive,Result == W AND Point_Differential <= 8,,Davidson demonstrated its ability to close out games.,Positive,1,
CLOSE_LOSS_POTENTIAL_001,Closing,P2_S2,Loss,Any,Any,Any,Loss_Positive,Result == L,,This performance highlights Davidson’s potential moving forward.,Positive,1,
CLOSE_LOSS_RESILIENCE_001,Closing,P2_S2,Loss,Any,Any,Any,Loss_Positive,Result == L,,Davidson showed resilience and will aim to build from the positive stretches in this game.,Positive,1,
CLOSE_LOSS_CLOSE_001,Closing,P2_S2,Loss_Close,Any,Any,Any,Loss_Positive,Result == L AND ABS(Point_Differential) <= 8,,The close result showed Davidson’s ability to compete deep into the game.,Positive,1,
CLOSE_GENERAL_001,Closing,P2_S2,Any,Any,Any,Any,Davidson_Positive,Any,Davidson continues to build confidence with this result.,,Positive,4,
CLOSE_GENERAL_RESILIENCE_001,Closing,P2_S2,Any,Any,Any,Any,Davidson_Positive,Any,Davidson showed resilience throughout the game.,,Positive,4,
ASSEMBLY_RULE_001,Assembly_Rule,Metadata,Any,Any,Any,Any,Davidson_Positive,"Use one Opening, two or three Body sentences, one Closing",Generated_Narrative_Target,Paragraph 1 should introduce the game and highlight a Davidson player. Paragraph 2 should emphasize a team stat or game-flow element and close with positive framing.,Instructional,1,This row is not a sentence template; it documents generator assembly.
ASSEMBLY_RULE_002,Assembly_Rule,Metadata,Loss,Any,Any,Any,Loss_Positive,"When Result == L, avoid harsh negative wording","Result,Point_Differential,Top_Scorer_Davidson","In losses, prioritize close margin, player performance, second-half response, or resilience before mentioning weaknesses.",Instructional,1,Supports the project goal of making Davidson look good while staying factual.
OPEN_WIN_RUN_001,Opening,P1_S1,Win,Momentum_Run,Any,Any,Win_Positive,Result == W AND Key_Run_1 IS NOT NULL,"Opponent,Key_Run_1",Davidson used a decisive [KEY_RUN] to pull away from [OPPONENT].,Positive,1,Highlights momentum swing
BODY_CLUTCH_001,Body_Flow,P1_S3,Any,Clutch,Any,Any,Davidson_Positive,Clutch_Game == 1,,Davidson executed well in key moments down the stretch.,Positive,1,Clutch performance
BODY_DEFENSE_STRONG_002,Body_Team_Stat,P2_S1,Any,Any,Any,Defensive_Strength,Davidson_Positive,Opponent_FG_Percentage <= 40,Opponent_FG_Percentage,Davidson limited its opponent to just [OPP_FG]% shooting from the field.,Positive,1,Opponent inefficiency
BODY_REBOUND_GRIT_002,Body_Team_Stat,P2_S1,Any,Any,Any,Rebound_Dominance,Davidson_Positive,Rebound_Differential >= 8,Rebound_Differential,"Davidson showed grit on the glass, finishing strongly in rebounding battles.",Positive,1,Extra emphasis rebounding
CLOSE_WIN_STREAK_001,Closing,P2_S2,Win,Any,Any,Any,Win_Positive,Result == W,,Davidson continues to build momentum with another strong performance.,Positive,2,Momentum framing
CLOSE_LOSS_LEARNING_001,Closing,P2_S2,Loss,Any,Any,Any,Loss_Positive,Result == L,,Davidson will look to build on the positives from this performance.,Positive,1,Forward-looking loss framing
OPEN_WIN_DOMINANT_001,Opening,P1_S1,Win_Blowout,Blowout,Star,Davidson,Dominant,,"[OPPONENT],[SCORE]","Davidson delivered a dominant performance against [OPPONENT], cruising to a [SCORE] win.",Neutral,1,Added for variety
OPEN_WIN_OVERTIME_001,Opening,P1_S1,Win_Close,Overtime,Star,Davidson,Clutch,Use when game goes to overtime,"[OPPONENT],[SCORE]","Davidson prevailed in overtime over [OPPONENT], winning [SCORE].",Neutral,1,Added for variety
OPEN_WIN_STRONGSTART_001,Opening,P1_S1,Win,StrongStart,Star,Davidson,Momentum,,"[OPPONENT],[SCORE]","After a strong start, Davidson held [OPPONENT] at bay to secure a [SCORE] victory.",Neutral,1,Added for variety
OPEN_WIN_COMEBACK_003,Opening,P1_S1,Win_Comeback,Comeback,Star,Davidson,Resilience,Use when comeback win,"[OPPONENT],[SCORE]",Davidson capped a furious comeback to defeat [OPPONENT] [SCORE].,Neutral,1,Added for variety
OPEN_LOSS_CLOSE_003,Opening,P1_S1,Loss_Close,Close,Star,Davidson,Competitive,,"[OPPONENT],[SCORE]","Davidson fell short against [OPPONENT], losing [SCORE] in a hard-fought game.",Neutral,1,Added for variety
OPEN_LOSS_SLOWSTART_001,Opening,P1_S1,Loss,SlowStart,Star,Davidson,Struggle,,"[OPPONENT],[SCORE]",Davidson couldn't overcome an early deficit and fell to [OPPONENT] [SCORE].,Neutral,1,Added for variety
OPEN_LOSS_RESILIENCE_002,Opening,P1_S1,Loss,Competitive,Star,Davidson,Resilience,,"[OPPONENT],[SCORE]","Despite a resilient effort, Davidson lost to [OPPONENT] [SCORE].",Neutral,1,Added for variety
OPEN_LOSS_HIGHSCORING_001,Opening,P1_S1,Loss_Blowout,HighScoring,Star,Davidson,Offense,,"[OPPONENT],[SCORE]","Davidson dropped a high-scoring contest to [OPPONENT], [SCORE].",Neutral,1,Added for variety
BODY_PLAYER_SEASON_HIGH_001,Body_Player,P1_S2,Any,Any,Star,Davidson,Highlight,,"[PLAYER],[POINTS],[REBOUNDS]",[PLAYER] contributed a season-high [POINTS] points and [REBOUNDS] rebounds for Davidson.,Neutral,1,Added for variety
BODY_PLAYER_BENCH_SPARK_001,Body_Player,P1_S3,Any,Any,Bench,Davidson,Highlight,,"[PLAYER],[POINTS]",[PLAYER] gave Davidson a lift off the bench with [POINTS] points.,Neutral,1,Added for variety
BODY_PLAYER_SPARK_001,Body_Player,P1_S2,Any,Any,Star,Davidson,Highlight,,"[PLAYER],[POINTS],[ASSISTS]",[PLAYER] sparked the Wildcats with [POINTS] points and [ASSISTS] assists.,Neutral,1,Added for variety
BODY_PLAYER_SECOND_SUPPORT_002,Body_Player,P1_S2,Any,Any,Support,Davidson,Support,,"[SECOND_PLAYER],[SECOND_STATLINE]","[SECOND_PLAYER] chipped in [SECOND_STATLINE], providing valuable support.",Neutral,1,Added for variety
BODY_PLAYER_THIRD_IMPACT_001,Body_Player,P1_S2,Any,Any,Support,Davidson,Support,,"[THIRD_PLAYER],[THIRD_STATLINE]",[THIRD_PLAYER] also made an impact with [THIRD_STATLINE].,Neutral,1,Added for variety
BODY_TEAM_REBOUND_DIFF_002,Body_Team_Stat,P2_S1,Any,Any,Any,Davidson,Grit,,[REBOUND_DIFFERENTIAL],"Davidson crashed the boards, outrebounding [OPPONENT] by [REBOUND_DIFFERENTIAL].",Neutral,1,Added for variety
BODY_TEAM_STEALS_002,Body_Team_Stat,P2_S1,Any,Any,Any,Davidson,Defense,,[STEALS],The Wildcats capitalized on [STEALS] steals to generate offense.,Neutral,1,Added for variety
BODY_TEAM_BENCH_POINTS_001,Body_Team_Stat,P2_S1,Any,Any,Any,Davidson,Depth,,[BENCH_POINTS],Davidson's bench contributed [BENCH_POINTS] points.,Neutral,1,Added for variety
BODY_TEAM_FT_SEAL_001,Body_Team_Stat,P2_S1,Any,Any,Any,Davidson,Execution,,[FT_PERCENTAGE],Davidson converted [FT_PERCENTAGE]% of their free throws to seal the win.,Neutral,1,Added for variety
BODY_TEAM_ASSISTS_PLAY_001,Body_Team_Stat,P2_S1,Any,Any,Any,Davidson,Playmaking,,[ASSISTS],"Davidson finished with [ASSISTS] assists, showcasing unselfish play.",Neutral,1,Added for variety
BODY_FLOW_DECISIVE_RUN_001,Body_Flow,P1_S3,Any,Run,Any,Davidson,Momentum,,,The Wildcats used a decisive run to seize control of the game.,Neutral,1,Added for variety
BODY_FLOW_HALFTIME_RALLY_001,Body_Flow,P1_S3,Any,Comeback,Any,Davidson,Resilience,,[HALFTIME_MARGIN],Davidson rallied from a [HALFTIME_MARGIN]-point halftime deficit to tie the game.,Neutral,1,Added for variety
BODY_FLOW_BACK_AND_FORTH_002,Body_Flow,P1_S3,Any,BackAndForth,Any,Davidson,Momentum,,,The game was a back-and-forth affair with multiple lead changes.,Neutral,1,Added for variety
BODY_FLOW_CLUTCH_002,Body_Flow,P1_S3,Any,Clutch,Any,Davidson,Clutch,,,"Davidson displayed composure in the clutch, making key plays late.",Neutral,1,Added for variety
BODY_FLOW_SLOW_START_001,Body_Flow,P1_S3,Any,SlowStart,Any,Davidson,Adjustment,,[OPPONENT],"After a slow start, Davidson found its rhythm in the second half and outscored [OPPONENT].",Neutral,1,Added for variety
CLOSE_WIN_SPRINGBOARD_001,Closing,P2_S2,Win,Any,Any,Davidson,Momentum,,,This win could serve as a springboard for Davidson as they head deeper into the season.,Neutral,1,Added for variety
CLOSE_WIN_NEXTMATCHUP_001,Closing,P2_S2,Win,Any,Any,Davidson,LookingAhead,,,Davidson will aim to carry this effort into their next matchup.,Neutral,1,Added for variety
CLOSE_LOSS_PROGRESS_001,Closing,P2_S2,Loss,Any,Any,Davidson,Growth,,,"Despite the loss, Davidson showed progress and will build on these lessons.",Neutral,1,Added for variety
CLOSE_WIN_MOMENTUM_002,Closing,P2_S2,Win,Any,Any,Davidson,Momentum,,,Davidson continues to build momentum with another victory.,Neutral,1,Added for variety
